,0
CEPU,electric-utilities
CIG,electric-utilities
CIG.,electric-utilities
CMS,electric-utilities
CMSA,electric-utilities
CMSC,electric-utilities
CNP,electric-utilities
DTE,electric-utilities
DTP,electric-utilities
DTW,electric-utilities
DUK,electric-utilities
DUKB,electric-utilities
EBR,electric-utilities
EBR.,electric-utilities
ED,electric-utilities
EDN,electric-utilities
EIX,electric-utilities
ELP,electric-utilities
ENIC,electric-utilities
ES,electric-utilities
ETR,electric-utilities
EVRG,electric-utilities
EXC,electric-utilities
FE,electric-utilities
FSLR,electric-utilities
FTS,electric-utilities
HE,electric-utilities
HNP,electric-utilities
IDA,electric-utilities
KEN,electric-utilities
KEP,electric-utilities
LNT,electric-utilities
MGEE,electric-utilities
NEE,electric-utilities
NGG,electric-utilities
NRG,electric-utilities
NWE,electric-utilities
OGE,electric-utilities
OTTR,electric-utilities
PAM,electric-utilities
PCG,electric-utilities
PCGU,electric-utilities
PEG,electric-utilities
PNM,electric-utilities
PNW,electric-utilities
POR,electric-utilities
PPL,electric-utilities
SO,electric-utilities
SOJC,electric-utilities
SOLN,electric-utilities
SRE,electric-utilities
TAC,electric-utilities
VIA,electric-utilities
VST,electric-utilities
VVPR,electric-utilities
WEC,electric-utilities
XEL,electric-utilities
ABB,electrical-products
AME,electrical-products
AMSC,electrical-products
ATKR,electrical-products
AYI,electrical-products
BDC,electrical-products
BE,electrical-products
BEEM,electrical-products
BLDP,electrical-products
BWEN,electrical-products
CBAT,electrical-products
CNEY,electrical-products
EAF,electrical-products
EFOI,electrical-products
EMR,electrical-products
ENS,electrical-products
ENVX,electrical-products
EOSE,electrical-products
ERII,electrical-products
ETN,electrical-products
FLNC,electrical-products
FREY,electrical-products
GNRC,electrical-products
GWH,electrical-products
HUBB,electrical-products
INVZ,electrical-products
IQMD,electrical-products
ITGR,electrical-products
LFUS,electrical-products
LITE,electrical-products
MVST,electrical-products
NILE,electrical-products
NRGV,electrical-products
NVVE,electrical-products
NVX,electrical-products
OEG,electrical-products
OESX,electrical-products
OPTT,electrical-products
PPSI,electrical-products
QS,electrical-products
RMO,electrical-products
ROK,electrical-products
SEDG,electrical-products
SKYX,electrical-products
SLDP,electrical-products
SPWR,electrical-products
STEM,electrical-products
SUNW,electrical-products
TPIC,electrical-products
XL,electrical-products
X  X,real-estate-development
AMPG,electronic-components
APH,electronic-components
BHE,electronic-components
CAMT,electronic-components
CLS,electronic-components
FLEX,electronic-components
GLW,electronic-components
JBL,electronic-components
KN,electronic-components
LEDS,electronic-components
LPTH,electronic-components
NVT,electronic-components
OLED,electronic-components
PLUG,electronic-components
PLXS,electronic-components
SANM,electronic-components
SENS,electronic-components
SGMA,electronic-components
TEL,electronic-components
TTMI,electronic-components
VICR,electronic-components
VSH,electronic-components
WOLF,electronic-components
BW,electronic-equipment-instruments
CETX,electronic-equipment-instruments
CGNX,electronic-equipment-instruments
CLIR,electronic-equipment-instruments
COHU,electronic-equipment-instruments
DCFC,electronic-equipment-instruments
EMAN,electronic-equipment-instruments
EVLV,electronic-equipment-instruments
FCEL,electronic-equipment-instruments
FEMY,electronic-equipment-instruments
FTV,electronic-equipment-instruments
HOLI,electronic-equipment-instruments
IIVI,electronic-equipment-instruments
INTT,electronic-equipment-instruments
ITRI,electronic-equipment-instruments
KEYS,electronic-equipment-instruments
KODK,electronic-equipment-instruments
LUNA,electronic-equipment-instruments
MIR,electronic-equipment-instruments
NOVT,electronic-equipment-instruments
PAR,electronic-equipment-instruments
POLA,electronic-equipment-instruments
QNGY,electronic-equipment-instruments
SLNH,electronic-equipment-instruments
SPCB,electronic-equipment-instruments
ST,electronic-equipment-instruments
TRMB,electronic-equipment-instruments
VUZI,electronic-equipment-instruments
WBX,electronic-equipment-instruments
ACLS,electronic-production-equipment
AEHR,electronic-production-equipment
AEIS,electronic-production-equipment
AXTI,electronic-production-equipment
EMKR,electronic-production-equipment
FORM,electronic-production-equipment
IMTE,electronic-production-equipment
LPL,electronic-production-equipment
LRCX,electronic-production-equipment
MICT,electronic-production-equipment
MVIS,electronic-production-equipment
NVMI,electronic-production-equipment
ONTO,electronic-production-equipment
OWLT,electronic-production-equipment
PI,electronic-production-equipment
PLAB,electronic-production-equipment
RELL,electronic-production-equipment
SONO,electronic-production-equipment
TER,electronic-production-equipment
VECO,electronic-production-equipment
VRT,electronic-production-equipment
ZEST,electronic-production-equipment
ARW,electronics-distributors
AVCT,electronics-distributors
AVT,electronics-distributors
LTRX,electronics-distributors
RCON,electronics-distributors
REZI,electronics-distributors
SNX,electronics-distributors
BBY,electronics-appliance-stores
CONN,electronics-appliance-stores
GME,electronics-appliance-stores
GOED,electronics-appliance-stores
ARLO,electronics-appliances
COOK,electronics-appliances
GPRO,electronics-appliances
HEAR,electronics-appliances
HELE,electronics-appliances
IMAX,electronics-appliances
IRBT,electronics-appliances
KOSS,electronics-appliances
MITQ,electronics-appliances
MTEK,electronics-appliances
ROKU,electronics-appliances
SONY,electronics-appliances
SPB,electronics-appliances
WEBR,electronics-appliances
WHR,electronics-appliances
ACM,engineering-construction
AENZ,engineering-construction
AMRC,engineering-construction
APG,engineering-construction
DY,engineering-construction
EME,engineering-construction
EXPO,engineering-construction
FIX,engineering-construction
FLR,engineering-construction
GVA,engineering-construction
IBP,engineering-construction
