,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
60,NWFL,NORWOOD FINANCIAL CORP,FORTE ANDREW,Director,"Jun 23, 2022",$24.28,560,13597,5005,"Jun 27, 2022, 12:51 PM",buy
61,BWFG,"Bankwell Financial Group, Inc.",Castiglioni Richard,Director,"Jun 23, 2022",$30.15,21,633,16121,"Jun 27, 2022, 12:03 PM",buy
62,BWFG,"Bankwell Financial Group, Inc.",Castiglioni Richard,Director,"Jun 24, 2022",$30.40,179,5442,16300,"Jun 27, 2022, 12:03 PM",buy
63,GIM,TEMPLETON GLOBAL INCOME FUND,"Saba Capital Management, L.P.",10% Owner,"Jun 24, 2022",$4.33,310930,1346327,30166571,"Jun 27, 2022, 12:02 PM",buy
64,GIM,TEMPLETON GLOBAL INCOME FUND,"Saba Capital Management, L.P.",10% Owner,"Jun 23, 2022",$4.31,51932,223827,29855641,"Jun 27, 2022, 12:02 PM",buy
65,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 24, 2022",$2.26,300,678,168400,"Jun 27, 2022, 11:59 AM",buy
66,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 24, 2022",$2.26,75,169,42067,"Jun 27, 2022, 11:59 AM",buy
67,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 24, 2022",$2.26,2,5,14,"Jun 27, 2022, 11:59 AM",buy
68,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 24, 2022",$2.26,4,9,3362,"Jun 27, 2022, 11:59 AM",buy
69,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 24, 2022",$2.26,300,678,171808,"Jun 27, 2022, 11:59 AM",buy
70,DEX,Delaware Enhanced Global Dividend & Income Fund,"Saba Capital Management, L.P.",10% Owner,"Jun 23, 2022",$7.55,2000,15100,1153867,"Jun 27, 2022, 11:57 AM",buy
71,TRKA,"Troika Media Group, Inc.",Coates Peter,10% Owner,"Jun 21, 2022",$0.93,9082,8491,10091710,"Jun 27, 2022, 11:53 AM",buy
72,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 24, 2022",$1519.96,2,3040,1361,"Jun 27, 2022, 11:47 AM",buy
73,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 24, 2022",$1519.96,1,1520,1524,"Jun 27, 2022, 11:47 AM",buy
74,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 24, 2022",$1519.96,2,3040,1460,"Jun 27, 2022, 11:47 AM",buy
75,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 24, 2022",$1519.96,13,19759,206496,"Jun 27, 2022, 11:47 AM",buy
76,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 24, 2022",$1519.96,1,1520,43122,"Jun 27, 2022, 11:47 AM",buy
77,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 24, 2022",$1519.96,3,4560,1732,"Jun 27, 2022, 11:47 AM",buy
78,NRT,NORTH EUROPEAN OIL ROYALTY TRUST,Prue Nancy J F,Trustee,"Jun 23, 2022",$12.54,128,1605,6128,"Jun 27, 2022, 10:27 AM",buy
79,PQEFF,PETROTEQ ENERGY INC.,CANTONE ANTHONY J,10% Owner,"Jun 24, 2022",$0.18,60000,10722,121426992,"Jun 27, 2022, 09:40 AM",buy
80,TURN,180 DEGREE CAPITAL CORP. /NY/,Rendino Kevin,Chairman and CEO,"Jun 23, 2022",$6.10,249,1519,490355,"Jun 27, 2022, 09:05 AM",buy
81,NXGL,"NEXGEL, INC.",STEFANSKY DAVID,Director,"Jun 24, 2022",$1.60,3128,4993,12219,"Jun 27, 2022, 09:00 AM",buy
82,NVCT,"Nuvectis Pharma, Inc.",BENTSUR RON,Chairman & CEO,"Jun 24, 2022",$12.18,400,4872,2964314,"Jun 27, 2022, 08:31 AM",buy
83,NVCT,"Nuvectis Pharma, Inc.",BENTSUR RON,Chairman & CEO,"Jun 23, 2022",$11.40,200,2280,2963914,"Jun 27, 2022, 08:31 AM",buy
84,NVCT,"Nuvectis Pharma, Inc.",BENTSUR RON,Chairman & CEO,"Jun 22, 2022",$13.10,100,1310,2963714,"Jun 27, 2022, 08:31 AM",buy
85,IDN,"Intellicheck, Inc.",Ishmael Jeffrey,CFO,"Jun 24, 2022",$1.91,4000,7645,60013,"Jun 27, 2022, 08:23 AM",buy
86,VOXX,VOXX International Corp,Kahli Beat,Director,"Jun 24, 2022",$8.73,5000,43650,4585000,"Jun 27, 2022, 07:00 AM",buy
87,ALDX,"Aldeyra Therapeutics, Inc.",JOYCE MARTIN JOSEPH,Director,"Jun 23, 2022",$3.48,4323,15025,23967,"Jun 27, 2022, 06:42 AM",buy
88,ALDX,"Aldeyra Therapeutics, Inc.",Brady Todd C,President and CEO,"Jun 23, 2022",$3.36,17700,59546,1216535,"Jun 27, 2022, 06:41 AM",buy
89,GLSI,"Greenwich LifeSciences, Inc.",Patel Snehal,CEO and CFO,"Jun 24, 2022",$9.13,22535,205745,2706421,"Jun 27, 2022, 06:05 AM",buy
90,GLSI,"Greenwich LifeSciences, Inc.",Patel Snehal,CEO and CFO,"Jun 24, 2022",$9.13,6465,59025,2712886,"Jun 27, 2022, 06:05 AM",buy
91,EFTR,"eFFECTOR Therapeutics, Inc.",Gallagher Brian M. Jr.,Director,"Jun 23, 2022",$1.59,30000,47700,30000,"Jun 27, 2022, 06:00 AM",buy
92,OPK,"OPKO HEALTH, INC.",Nabel Gary J.,Chief Innovation Officer,"Jun 22, 2022",$2.50,80000,199986,19857514,"Jun 24, 2022, 07:52 PM",buy
93,OPK,"OPKO HEALTH, INC.",Nabel Gary J.,Chief Innovation Officer,"Jun 22, 2022",$2.47,80000,197600,80000,"Jun 24, 2022, 07:52 PM",buy
94,OPK,"OPKO HEALTH, INC.",Nabel Gary J.,Chief Innovation Officer,"Jun 22, 2022",$2.50,80000,199807,19857514,"Jun 24, 2022, 07:52 PM",buy
95,TELA,"TELA Bio, Inc.",Opaleye Management Inc.,10% Owner,"Jun 22, 2022",$6.99,400,2796,97800,"Jun 24, 2022, 07:45 PM",buy
96,TELA,"TELA Bio, Inc.",Opaleye Management Inc.,10% Owner,"Jun 22, 2022",$6.99,2000,13980,1542000,"Jun 24, 2022, 07:45 PM",buy
97,TELA,"TELA Bio, Inc.","EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 23, 2022",$6.99,5000,34950,3540709,"Jun 24, 2022, 07:06 PM",buy
98,TELA,"TELA Bio, Inc.","EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 22, 2022",$6.47,5000,32350,3535709,"Jun 24, 2022, 07:06 PM",buy
99,TELA,"TELA Bio, Inc.","EW HEALTHCARE PARTNERS FUND 2, L.P.",See footnote 2,"Jun 24, 2022",$7.06,5000,35300,3545709,"Jun 24, 2022, 07:06 PM",buy
100,EVA,Enviva Inc.,Meth Thomas,President,"Jun 23, 2022",$58.78,8600,505508,426255,"Jun 24, 2022, 06:45 PM",buy
1,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10% Owner,"Jun 23, 2022",$10.50,200000,2100000,6920089,"Jun 24, 2022, 05:51 PM",buy
2,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10% Owner,"Jun 22, 2022",$10.90,142900,1557610,6720089,"Jun 24, 2022, 05:51 PM",buy
3,TCDA,"Tricida, Inc.","Venrock Healthcare Capital Partners II, L.P.",10% Owner,"Jun 24, 2022",$9.68,149120,1443482,7069209,"Jun 24, 2022, 05:51 PM",buy
4,NNBR,NN INC,"Corre Partners Management, LLC",10% Owner,"Jun 23, 2022",$2.36,16883,39920,4519517,"Jun 24, 2022, 05:42 PM",buy
5,NNBR,NN INC,"Corre Partners Management, LLC",10% Owner,"Jun 22, 2022",$2.33,51200,119311,4502634,"Jun 24, 2022, 05:42 PM",buy
6,IKNA,"Ikena Oncology, Inc.",ORBIMED ADVISORS LLC,Director,"Jun 24, 2022",$4.96,162000,803975,2098097,"Jun 24, 2022, 05:39 PM",buy
7,IKNA,"Ikena Oncology, Inc.",ORBIMED ADVISORS LLC,Director,"Jun 23, 2022",$3.71,23419,86884,1936097,"Jun 24, 2022, 05:39 PM",buy
8,IKNA,"Ikena Oncology, Inc.",ORBIMED ADVISORS LLC,Director,"Jun 22, 2022",$3.55,66806,237161,1912678,"Jun 24, 2022, 05:39 PM",buy
9,IKNA,"Ikena Oncology, Inc.",Bonita David P,Director,"Jun 24, 2022",$4.96,162000,803975,2098097,"Jun 24, 2022, 05:32 PM",buy
10,IKNA,"Ikena Oncology, Inc.",Bonita David P,Director,"Jun 23, 2022",$3.71,23419,86884,1936097,"Jun 24, 2022, 05:32 PM",buy
11,IKNA,"Ikena Oncology, Inc.",Bonita David P,Director,"Jun 22, 2022",$3.55,66806,237161,1912678,"Jun 24, 2022, 05:32 PM",buy
12,MICS,SINGING MACHINE CO INC,"BitNile Holdings, Inc.",10% Owner,"Jun 23, 2022",$7.68,14000,107541,1532000,"Jun 24, 2022, 05:25 PM",buy
13,MICS,SINGING MACHINE CO INC,"BitNile Holdings, Inc.",10% Owner,"Jun 22, 2022",$7.72,15518,119765,1518000,"Jun 24, 2022, 05:25 PM",buy
14,MICS,SINGING MACHINE CO INC,"BitNile Holdings, Inc.",10% Owner,"Jun 24, 2022",$7.82,10000,78227,1542000,"Jun 24, 2022, 05:25 PM",buy
15,NILE,"BitNile Holdings, Inc.",AULT MILTON C III,Executive Chairman,"Jun 23, 2022",$0.28,125000,34837,22225000,"Jun 24, 2022, 05:00 PM",buy
16,NILE,"BitNile Holdings, Inc.",AULT MILTON C III,Executive Chairman,"Jun 22, 2022",$0.30,100000,29690,22100000,"Jun 24, 2022, 05:00 PM",buy
17,GLP,GLOBAL PARTNERS LP,Global GP LLC,General Partner,"Jun 24, 2022",$23.01,5000,115050,139634,"Jun 24, 2022, 04:59 PM",buy
18,GLP,GLOBAL PARTNERS LP,Global GP LLC,General Partner,"Jun 23, 2022",$22.05,5433,119798,134634,"Jun 24, 2022, 04:59 PM",buy
19,ANTX,"AN2 Therapeutics, Inc.","Adjuvant Global Health Technology Fund, L.P.",10% Owner,"Mar 29, 2022",$15.00,166666,2499990,2210735,"Jun 24, 2022, 04:51 PM",buy
20,GMS,GMS Inc.,"Coliseum Capital Management, LLC",10% Owner,"Jun 22, 2022",$38.72,93897,3635692,6031573,"Jun 24, 2022, 04:42 PM",buy
21,GMS,GMS Inc.,"Coliseum Capital Management, LLC",10% Owner,"Jun 23, 2022",$39.82,100000,3982000,6131573,"Jun 24, 2022, 04:42 PM",buy
22,RKT,"Rocket Companies, Inc.",Rizik Matthew,Director,"Jun 24, 2022",$7.70,2800,21560,220702,"Jun 24, 2022, 04:30 PM",buy
23,RKT,"Rocket Companies, Inc.",Rizik Matthew,Director,"Jun 23, 2022",$7.16,3000,21480,217902,"Jun 24, 2022, 04:30 PM",buy
24,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Jun 23, 2022",$7.15,27900,199485,2826307,"Jun 24, 2022, 04:29 PM",buy
25,RKT,"Rocket Companies, Inc.",Farner Jay,Chief Executive Officer,"Jun 24, 2022",$7.69,26000,199940,2852307,"Jun 24, 2022, 04:29 PM",buy
26,SRRK,Scholar Rock Holding Corp,Nashat Amir,Director,"Jun 22, 2022",$4.90,1197992,5870161,3540530,"Jun 24, 2022, 04:27 PM",buy
27,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,BARTH CARIN MARCY,Director,"Jun 24, 2022",$23.64,19050,450304,19050,"Jun 24, 2022, 04:20 PM",buy
28,KFS,KINGSWAY FINANCIAL SERVICES INC,OAKMONT CAPITAL INC,10% Owner,"Jun 22, 2022",$5.29,9699,51284,2477736,"Jun 24, 2022, 04:09 PM",buy
29,KFS,KINGSWAY FINANCIAL SERVICES INC,OAKMONT CAPITAL INC,10% Owner,"Jun 23, 2022",$5.31,34660,183996,2512396,"Jun 24, 2022, 04:09 PM",buy
30,KFS,KINGSWAY FINANCIAL SERVICES INC,Hannon Gregory Paul,Director,"Jun 23, 2022",$5.31,34600,183678,2560146,"Jun 24, 2022, 04:08 PM",buy
31,KFS,KINGSWAY FINANCIAL SERVICES INC,Hannon Gregory Paul,Director,"Jun 22, 2022",$5.29,9699,51284,2525486,"Jun 24, 2022, 04:08 PM",buy
32,FMAO,FARMERS & MERCHANTS BANCORP INC,Hornish Jo Ellen,Director,"Jun 24, 2022",$34.14,2997,102318,35652,"Jun 24, 2022, 04:06 PM",buy
33,KFS,KINGSWAY FINANCIAL SERVICES INC,Kavanagh Terence Michael,Director,"Jun 23, 2022",$5.31,34660,183996,2547146,"Jun 24, 2022, 04:05 PM",buy
34,KFS,KINGSWAY FINANCIAL SERVICES INC,Kavanagh Terence Michael,Director,"Jun 22, 2022",$5.29,9699,51284,2512486,"Jun 24, 2022, 04:05 PM",buy
35,HQI,"HireQuest, Inc.",Hermanns Richard,President and CEO,"Jun 22, 2022",$12.46,3000,37381,3454498,"Jun 24, 2022, 04:05 PM",buy
36,HQI,"HireQuest, Inc.",OLMSTEAD JACK A.,Director,"Jun 23, 2022",$13.12,3300,43296,23330,"Jun 24, 2022, 04:05 PM",buy
37,LGMK,"LogicMark, Inc.",Curtis Robert Arthur,Director,"Jun 22, 2022",$1.15,10000,11460,27645,"Jun 24, 2022, 04:05 PM",buy
38,HOMB,HOME BANCSHARES INC,Engelkes Jack,Director,"Jun 23, 2022",$20.58,25000,514500,178634,"Jun 24, 2022, 04:04 PM",buy
39,OESX,"ORION ENERGY SYSTEMS, INC.",Altschaefl Michael W,CEO and Board Chair,"Jun 24, 2022",$2.04,10000,20408,1035156,"Jun 24, 2022, 04:02 PM",buy
40,PAA,PLAINS ALL AMERICAN PIPELINE LP,McCarthy Kevin S,Director,"Jun 23, 2022",$9.81,200000,1961220,200000,"Jun 24, 2022, 03:19 PM",buy
41,OSG,OVERSEAS SHIPHOLDING GROUP INC,Norton Samuel H,President and CEO,"Jun 22, 2022",$2.07,50000,103515,1972396,"Jun 24, 2022, 02:53 PM",buy
42,PQEFF,PETROTEQ ENERGY INC.,CANTONE ANTHONY J,10% Owner,"Jun 23, 2022",$0.02,70000,1225,121366992,"Jun 24, 2022, 12:59 PM",buy
43,TFC,TRUIST FINANCIAL CORP,RATCLIFFE DAVID M,Director,"Jun 22, 2022",$46.99,132,6203,3055,"Jun 24, 2022, 12:35 PM",buy
44,AUGG,AUGUSTA GOLD CORP.,Augusta Investments Inc.,Director,"Jun 23, 2022",$1.33,4000,5305,21975388,"Jun 24, 2022, 12:25 PM",buy
45,AUGG,AUGUSTA GOLD CORP.,Augusta Investments Inc.,Director,"Jun 22, 2022",$1.27,300,381,21971388,"Jun 24, 2022, 12:25 PM",buy
46,MSF A,AIP Multi-Strategy Fund A,Dennis Kathleen A,Director,"Jun 24, 2022",$777.64,6,4666,2,"Jun 24, 2022, 12:08 PM",buy
47,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 23, 2022",$2.29,300,687,168100,"Jun 24, 2022, 11:31 AM",buy
48,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 23, 2022",$2.29,2,5,3358,"Jun 24, 2022, 11:31 AM",buy
49,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 23, 2022",$2.29,300,687,171508,"Jun 24, 2022, 11:31 AM",buy
50,RCG,"RENN Fund, Inc.",STAHL MURRAY,President and CEO,"Jun 23, 2022",$2.29,75,172,41992,"Jun 24, 2022, 11:31 AM",buy
51,TRSSF,TerrAscend Corp.,"JW Asset Management, LLC",Executive Chairman,"Jun 23, 2022",$2.53,20000,50600,90297808,"Jun 24, 2022, 11:15 AM",buy
52,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 23, 2022",$1458.12,3,4374,1729,"Jun 24, 2022, 11:15 AM",buy
53,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 23, 2022",$1458.12,2,2916,1458,"Jun 24, 2022, 11:15 AM",buy
54,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 23, 2022",$1458.12,13,18956,206483,"Jun 24, 2022, 11:15 AM",buy
55,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 23, 2022",$1458.12,1,1458,1523,"Jun 24, 2022, 11:15 AM",buy
56,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 23, 2022",$1458.12,1,1458,43121,"Jun 24, 2022, 11:15 AM",buy
57,TPL,Texas Pacific Land Corp,STAHL MURRAY,Director,"Jun 23, 2022",$1458.12,2,2916,1359,"Jun 24, 2022, 11:15 AM",buy
58,ATSG,"Air Transport Services Group, Inc.",VORHOLT JEFFREY J,Director,"Jun 22, 2022",$29.29,357,10457,32300,"Jun 24, 2022, 09:26 AM",buy
59,DTIL,PRECISION BIOSCIENCES INC,Kelly John Alexander,Chief Financial Officer,"Jun 22, 2022",$1.50,33784,50676,117701,"Jun 24, 2022, 08:59 AM",buy
60,AMWD,AMERICAN WOODMARK CORP,Tang Vance W,Director,"Jun 23, 2022",$41.95,10000,419500,57594,"Jun 24, 2022, 08:57 AM",buy
61,AMWD,AMERICAN WOODMARK CORP,Culbreth Michael Scott,PRESIDENT & CEO,"Jun 22, 2022",$41.13,2000,82261,57930,"Jun 24, 2022, 08:56 AM",buy
62,CRTD,"Creatd, Inc.",Frommer Jeremy,Executive Chairman,"Jun 23, 2022",$0.77,1807,1399,657462,"Jun 24, 2022, 08:30 AM",buy
63,VOXX,VOXX International Corp,Kahli Beat,Director,"Jun 23, 2022",$8.96,5000,44800,4580000,"Jun 24, 2022, 07:00 AM",buy
64,GBS,GBS Inc.,Sakiris Spiro Kevin,Chief Financial Officer,"Jun 22, 2022",$0.65,5000,3249,50228,"Jun 24, 2022, 06:48 AM",buy
65,QRHC,Quest Resource Holding Corp,FRIEDBERG DANIEL M.,Director,"Jun 21, 2022",$3.71,764,2833,2781069,"Jun 23, 2022, 08:12 PM",buy
66,QRHC,Quest Resource Holding Corp,FRIEDBERG DANIEL M.,Director,"Jun 22, 2022",$3.93,5218,20528,2786287,"Jun 23, 2022, 08:12 PM",buy
67,EVA,Enviva Inc.,Even Shai,Exec VP & CFO,"Jun 23, 2022",$58.85,4300,253055,359130,"Jun 23, 2022, 07:48 PM",buy
68,CXDO,"Crexendo, Inc.",MIHAYLO STEVEN G,Chief Executive Officer,"Jun 22, 2022",$2.97,1500,4458,11178256,"Jun 23, 2022, 07:34 PM",buy
69,QRHC,Quest Resource Holding Corp,Miller Ronald L. Jr.,Director,"Jun 22, 2022",$3.94,500,1968,2105,"Jun 23, 2022, 07:23 PM",buy
70,QRHC,Quest Resource Holding Corp,Miller Ronald L. Jr.,Director,"Jun 23, 2022",$3.96,495,1959,2600,"Jun 23, 2022, 07:23 PM",buy
71,BXMT,"BLACKSTONE MORTGAGE TRUST, INC.",Cotton Leonard W,Director,"Jun 21, 2022",$27.78,5000,138922,47955,"Jun 23, 2022, 07:07 PM",buy
72,TCON,"Tracon Pharmaceuticals, Inc.",Opaleye Management Inc.,10% Owner,"Jun 21, 2022",$1.31,841989,1105279,3776589,"Jun 23, 2022, 06:54 PM",buy
73,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10% Owner,"Jun 21, 2022",$0.54,280182,152381,6615415,"Jun 23, 2022, 06:28 PM",buy
74,SEAC,SEACHANGE INTERNATIONAL INC,SINGER KAREN,10% Owner,"Jun 22, 2022",$0.55,10201,5561,6625616,"Jun 23, 2022, 06:28 PM",buy
75,FSLY,"Fastly, Inc.",Daniels Richard Devon,Director,"Jun 01, 2022",$12.75,5000,63750,31014,"Jun 23, 2022, 05:53 PM",buy
76,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 21, 2022",$13.15,2703,35549,822065,"Jun 23, 2022, 05:44 PM",buy
77,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 23, 2022",$13.82,105723,1461483,11268303,"Jun 23, 2022, 05:44 PM",buy
78,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 21, 2022",$13.15,3902,51318,1029817,"Jun 23, 2022, 05:44 PM",buy
79,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 22, 2022",$13.11,17567,230263,839632,"Jun 23, 2022, 05:44 PM",buy
80,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 21, 2022",$13.15,43395,570718,10880510,"Jun 23, 2022, 05:44 PM",buy
81,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 22, 2022",$13.11,25363,332451,1055180,"Jun 23, 2022, 05:44 PM",buy
82,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 23, 2022",$13.82,6585,91029,846217,"Jun 23, 2022, 05:44 PM",buy
83,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 22, 2022",$13.11,282070,3697289,11162580,"Jun 23, 2022, 05:44 PM",buy
84,JELD,"JELD-WEN Holding, Inc.",Turtle Creek Asset Management Inc.,10% Owner,"Jun 23, 2022",$13.82,9507,131422,1064687,"Jun 23, 2022, 05:44 PM",buy
85,EVA,Enviva Inc.,Keppler John K.,Chairman and CEO,"Jun 23, 2022",$60.57,16422,994650,717454,"Jun 23, 2022, 05:42 PM",buy
86,APPN,APPIAN CORP,"Abdiel Capital Management, LLC",10% Owner,"Jun 22, 2022",$43.81,152,6659,8328118,"Jun 23, 2022, 05:32 PM",buy
87,APPN,APPIAN CORP,"Abdiel Capital Management, LLC",10% Owner,"Jun 22, 2022",$43.81,4400,192766,8328065,"Jun 23, 2022, 05:32 PM",buy
88,APPN,APPIAN CORP,"Abdiel Capital Management, LLC",10% Owner,"Jun 21, 2022",$43.98,3202,140810,8323566,"Jun 23, 2022, 05:32 PM",buy
89,APPN,APPIAN CORP,"Abdiel Capital Management, LLC",10% Owner,"Jun 21, 2022",$43.98,96798,4256745,8321850,"Jun 23, 2022, 05:32 PM",buy
90,RSSS,"Research Solutions, Inc.",OLIVIER ROY W,CEO & President,"Jun 21, 2022",$1.90,2302,4374,131736,"Jun 23, 2022, 05:29 PM",buy
91,RSVR,"Reservoir Media, Inc.",Field Ezra S.,Director,"Jun 23, 2022",$6.52,23000,149960,43000,"Jun 23, 2022, 05:23 PM",buy
92,VYGR,"Voyager Therapeutics, Inc.","EcoR1 Capital, LLC",10% Owner,"Jun 23, 2022",$5.66,376000,2126543,4753907,"Jun 23, 2022, 05:21 PM",buy
93,VYGR,"Voyager Therapeutics, Inc.","EcoR1 Capital, LLC",10% Owner,"Jun 21, 2022",$5.28,101400,535504,4377907,"Jun 23, 2022, 05:21 PM",buy
94,ACLX,"Arcellx, Inc.","New Enterprise Associates 15, L.P.",10% Owner,"Jun 21, 2022",$16.00,312500,5000000,6745262,"Jun 23, 2022, 05:10 PM",buy
95,OTLK,"Outlook Therapeutics, Inc.",Dagnon Terry,Chief Operating Officer,"Jun 21, 2022",$1.05,10000,10500,1173058,"Jun 23, 2022, 05:08 PM",buy
96,OTLK,"Outlook Therapeutics, Inc.",TRENARY C RUSSELL III,CEO and President,"Jun 21, 2022",$1.06,19925,21120,54925,"Jun 23, 2022, 05:07 PM",buy
97,BCAB,"BioAtla, Inc.",SHORT JAY M PHD,Chief Executive Officer,"Jun 21, 2022",$2.79,29082,81040,1335674,"Jun 23, 2022, 04:59 PM",buy
98,BCAB,"BioAtla, Inc.",SHORT JAY M PHD,Chief Executive Officer,"Jun 22, 2022",$2.91,40308,117296,1375982,"Jun 23, 2022, 04:59 PM",buy
99,MYPS,"PLAYSTUDIOS, Inc.",PASCAL ANDREW S,Chairman and CEO,"Jun 21, 2022",$6.30,9600,60448,392800,"Jun 23, 2022, 04:58 PM",buy
100,SFE,SAFEGUARD SCIENTIFICS INC,SATTERFIELD THOMAS A JR,10% Owner,"Jun 22, 2022",$41.40,20000,828000,200000,"Jun 23, 2022, 04:57 PM",buy
101,SFE,SAFEGUARD SCIENTIFICS INC,SATTERFIELD THOMAS A JR,10% Owner,"Jun 21, 2022",$3.64,20000,72800,180000,"Jun 23, 2022, 04:57 PM",buy
102,SFE,SAFEGUARD SCIENTIFICS INC,SATTERFIELD THOMAS A JR,10% Owner,"Jun 22, 2022",$4.13,27165,112191,671671,"Jun 23, 2022, 04:57 PM",buy
103,SFE,SAFEGUARD SCIENTIFICS INC,SATTERFIELD THOMAS A JR,10% Owner,"Jun 21, 2022",$3.80,6209,23594,644506,"Jun 23, 2022, 04:57 PM",buy
1,NTRA,"Natera, Inc.",Schueren Robert Alan,CHIEF OPERATING OFFICER,"Jun 28, 2022",$39.02,1390,54231,1360,"Jun 29, 2022, 09:30 PM",sell
2,NTRA,"Natera, Inc.",RABINOWITZ DANIEL,SEC. AND CHIEF LEGAL OFFICER,"Jun 28, 2022",$39.02,689,26882,144478,"Jun 29, 2022, 09:30 PM",sell
3,NTRA,"Natera, Inc.",Chapman Steven Leonard,CEO AND PRESIDENT,"Jun 28, 2022",$39.01,2619,102180,67341,"Jun 29, 2022, 09:30 PM",sell
4,NTRA,"Natera, Inc.",Brophy Michael Burkes,CHIEF FINANCIAL OFFICER,"Jun 28, 2022",$39.01,920,35893,83872,"Jun 29, 2022, 09:30 PM",sell
5,AN,"AUTONATION, INC.",LAMPERT EDWARD S,10% Owner,"Jun 27, 2022",$117.55,4587,539213,7874558,"Jun 29, 2022, 09:30 PM",sell
6,CAPR,"CAPRICOR THERAPEUTICS, INC.",Musket David B,Director,"Jun 27, 2022",$4.44,17775,78921,40962,"Jun 29, 2022, 09:00 PM",sell
7,CXM,"Sprinklr, Inc.",Adams Diane,Chief Culture & Talent Officer,"Jun 28, 2022",$11.29,701,7914,113998,"Jun 29, 2022, 08:49 PM",sell
8,BLZE,"Backblaze, Inc.",Jones Charles J.,10% Owner,"Jun 28, 2022",$5.12,2000,10240,496000,"Jun 29, 2022, 08:19 PM",sell
9,BLZE,"Backblaze, Inc.",Jones Charles J.,10% Owner,"Jun 27, 2022",$5.26,2000,10520,498000,"Jun 29, 2022, 08:19 PM",sell
10,BLZE,"Backblaze, Inc.",Jones Charles J.,10% Owner,"Jun 29, 2022",$4.97,2000,9940,494000,"Jun 29, 2022, 08:19 PM",sell
11,BLZE,"Backblaze, Inc.",Budman Gleb,CEO and Chairperson,"Jun 29, 2022",$4.97,2000,9940,494000,"Jun 29, 2022, 08:18 PM",sell
12,BLZE,"Backblaze, Inc.",Budman Gleb,CEO and Chairperson,"Jun 28, 2022",$5.12,2000,10240,496000,"Jun 29, 2022, 08:18 PM",sell
13,BLZE,"Backblaze, Inc.",Budman Gleb,CEO and Chairperson,"Jun 27, 2022",$5.27,2000,10540,498000,"Jun 29, 2022, 08:18 PM",sell
14,BLZE,"Backblaze, Inc.",Wilson Brian K,Chief Technology Officer,"Jun 29, 2022",$4.97,2000,9940,494000,"Jun 29, 2022, 08:18 PM",sell
15,BLZE,"Backblaze, Inc.",Wilson Brian K,Chief Technology Officer,"Jun 28, 2022",$5.12,2000,10240,496000,"Jun 29, 2022, 08:18 PM",sell
16,BLZE,"Backblaze, Inc.",Wilson Brian K,Chief Technology Officer,"Jun 27, 2022",$5.27,2000,10540,498000,"Jun 29, 2022, 08:18 PM",sell
