,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
75,PCVX,"Vaxcyte, Inc.",PICKERING GRANT,Chief Executive Officer,"Jun 28, 2022",$21.00,10000,210000,345660,"Jun 28, 2022, 05:14 PM",sell
76,SYBT,"Stock Yards Bancorp, Inc.",Rehm Michael,Executive Vice President,"Jun 28, 2022",$59.52,500,29759,10613,"Jun 28, 2022, 05:11 PM",sell
77,TYME,"TYME TECHNOLOGIES, INC.",Demurjian Michael,10% Owner,"Jun 28, 2022",$0.27,60000,16074,23048846,"Jun 28, 2022, 05:08 PM",sell
78,GO,Grocery Outlet Holding Corp.,Sheedy Robert Joseph Jr.,President,"Jun 27, 2022",$43.12,6667,287481,66242,"Jun 28, 2022, 05:07 PM",sell
79,PCT,"PureCycle Technologies, Inc.",Scott John Stewart,Director,"Jun 27, 2022",$7.68,92000,706523,1435709,"Jun 28, 2022, 05:06 PM",sell
80,NDAQ,"NASDAQ, INC.",SKULE JEREMY,Executive Vice President,"Jun 24, 2022",$160.00,1400,224000,21504,"Jun 28, 2022, 05:05 PM",sell
81,GO,Grocery Outlet Holding Corp.,Lindberg Eric J. Jr.,Chief Executive Officer,"Jun 27, 2022",$43.13,25000,1078250,76114,"Jun 28, 2022, 05:03 PM",sell
82,LOTZ,"CarLotz, Inc.",Peker Lev,CEO,"Jun 24, 2022",$0.46,18923,8780,80915,"Jun 28, 2022, 04:47 PM",sell
83,PB,PROSPERITY BANCSHARES INC,Fisk George A.,Director,"Jun 28, 2022",$70.38,1100,77418,92511,"Jun 28, 2022, 04:40 PM",sell
84,PB,PROSPERITY BANCSHARES INC,Fisk George A.,Director,"Jun 27, 2022",$69.50,1200,83400,93611,"Jun 28, 2022, 04:40 PM",sell
85,UTHR,UNITED THERAPEUTICS Corp,CAUSEY CHRISTOPHER,Director,"Jun 27, 2022",$236.79,5000,1183950,675,"Jun 28, 2022, 04:37 PM",sell
86,QTNT,Quotient Ltd,Buckle Isabelle,Director,"May 02, 2022",$0.52,2209,1156,29207,"Jun 28, 2022, 04:35 PM",sell
87,QTNT,Quotient Ltd,McDonough Brian,Director,"May 02, 2022",$0.52,2124,1111,71694,"Jun 28, 2022, 04:35 PM",sell
88,DLR,"DIGITAL REALTY TRUST, INC.",Corey Dyer,"EVP, CHIEF REVENUE OFFICER","Jun 24, 2022",$137.27,2504,343724,11689,"Jun 28, 2022, 04:35 PM",sell
89,UTHR,UNITED THERAPEUTICS Corp,Olian Judy D.,Director,"Jun 27, 2022",$240.34,10000,2403440,8930,"Jun 28, 2022, 04:30 PM",sell
90,ARQT,"Arcutis Biotherapeutics, Inc.",ORBIMED ADVISORS LLC,10% Owner,"Jun 24, 2022",$21.31,341971,7287402,3534537,"Jun 28, 2022, 04:29 PM",sell
